-38,22,-30,43,46,-44
-39,22,-30,44,46,-45
-39,23,-30,45,46,-46
-40,24,-30,46,47,-47
-41,25,-30,47,47,-47
-41,25,-30,47,47,-48
-42,26,-30,48,48,-49
-43,27,-30,49,48,-50
-43,27,-30,50,48,-51
-44,28,-30,50,48,-51
-45,28,-30,51,49,-52
-45,29,-30,51,49,-53
-46,29,-30,52,49,-53
-46,30,-30,53,49,-54
-47,30,-30,53,50,-55
-47,31,-30,54,50,-55
-47,31,-30,54,50,-56
-48,32,-30,54,50,-56
-48,32,-30,55,50,-57
-49,33,-30,55,51,-57
-49,33,-30,56,51,-57
-49,33,-30,56,51,-58
-49,33,-30,56,51,-58
-50,34,-30,56,51,-58
-50,34,-30,57,51,-59
-50,34,-30,57,51,-59
-50,34,-30,57,51,-59
-50,34,-30,57,51,-59
-50,35,-30,57,51,-60
-51,35,-30,57,52,-60
-51,35,-30,58,52,-60
-51,35,-30,58,52,-60
-51,35,-30,58,52,-60
-51,35,-30,58,52,-60
-51,35,-30,58,52,-60
-51,35,-30,58,52,-60
-51,35,-30,58,52,-60
-51,35,-30,58,52,-60
-51,35,-30,58,52,-60
-51,35,-30,58,52,-60
-51,35,-30,58,52,-60
-51,35,-30,58,52,-60
-51,35,-30,58,52,-60
-51,35,-30,58,52,-60
-51,35,-30,58,52,-60
-51,35,-30,58,52,-60
-51,35,-30,58,51,-60
-51,35,-30,58,51,-60
-50,35,-30,58,51,-60
-50,34,-29,58,51,-60
-50,34,-29,58,51,-60
-50,34,-29,58,51,-60
-50,34,-29,58,50,-60
-49,34,-29,58,50,-60
-49,33,-28,58,50,-60
-49,33,-28,58,49,-60
-48,33,-28,58,49,-60
-48,32,-27,58,49,-60
-47,32,-27,58,48,-60
-47,31,-26,58,48,-60
-46,31,-26,58,47,-60
-46,30,-25,58,46,-60
-45,30,-25,58,46,-60
-44,29,-24,58,45,-60
-44,29,-24,58,44,-60
-43,28,-23,58,44,-60
-42,27,-22,58,43,-60
-41,26,-22,58,42,-60
-41,26,-21,58,41,-60
-40,25,-20,58,40,-60
-39,24,-19,58,39,-60
-38,23,-18,58,38,-60
-37,22,-17,58,37,-60
-36,21,-16,58,36,-60
-35,20,-16,58,35,-60
-34,19,-15,58,34,-60
-33,18,-14,58,33,-59
-31,17,-13,58,32,-59
-30,16,-12,58,30,-59
-29,15,-11,58,29,-59
-28,14,-9,59,28,-59
-27,13,-8,59,27,-59
-25,12,-7,59,25,-59
-24,11,-6,59,24,-59
-23,10,-5,59,23,-59
-22,9,-4,59,22,-59
-20,8,-3,59,20,-59
-19,6,-2,59,19,-59
-18,5,-1,59,18,-59
-17,4,1,59,16,-59
-15,3,2,59,15,-59
-14,2,3,59,14,-59
-13,1,4,59,12,-59
-12,-0,5,59,11,-59
-10,-1,6,59,10,-59
-9,-3,7,59,9,-59
-8,-4,8,59,7,-59
-7,-5,9,59,6,-59
-6,-6,11,59,5,-59
-4,-7,12,59,4,-59
-3,-8,13,59,2,-59
-2,-9,14,59,1,-59
-1,-10,15,59,0,-59
0,-11,16,59,-1,-59
1,-12,16,59,-2,-59
2,-13,17,60,-3,-59
3,-14,18,60,-4,-59
4,-15,19,60,-5,-58
5,-15,20,60,-6,-58
6,-16,21,60,-7,-58
7,-17,22,60,-8,-58
8,-18,22,60,-9,-58
8,-18,23,60,-10,-58
9,-19,24,60,-10,-58
10,-20,24,60,-11,-58
11,-20,25,60,-12,-58
11,-21,25,60,-12,-58
12,-21,26,60,-13,-58
12,-22,26,60,-14,-58
13,-22,27,60,-14,-58
13,-23,27,60,-15,-58
14,-23,28,60,-15,-58
14,-23,28,60,-15,-58
14,-24,28,60,-16,-58
15,-24,29,60,-16,-58
15,-24,29,60,-16,-58
15,-25,29,60,-17,-58
16,-25,29,60,-17,-58
16,-25,29,60,-17,-58
16,-25,30,60,-17,-58
16,-25,30,60,-17,-58
16,-25,30,60,-17,-58
16,-25,30,60,-18,-58
16,-25,30,60,-18,-58
16,-25,30,60,-18,-58
16,-25,30,60,-18,-58
16,-25,30,60,-18,-58
16,-25,30,60,-18,-58
16,-25,30,60,-18,-58
16,-25,30,60,-18,-58
16,-25,30,60,-18,-58
16,-25,30,60,-18,-58
16,-25,30,60,-18,-58
16,-25,30,60,-18,-58
16,-25,30,60,-18,-58
16,-25,30,60,-18,-58
16,-25,30,60,-18,-58
16,-25,30,60,-18,-58
17,-25,30,60,-18,-58
17,-25,29,60,-18,-58
17,-25,29,60,-18,-58
17,-24,29,60,-18,-58
17,-24,29,60,-18,-58
17,-24,29,60,-18,-58
17,-24,28,60,-19,-58
17,-23,28,60,-19,-58
18,-23,28,60,-19,-58
18,-22,27,60,-19,-58
18,-22,27,60,-19,-58
18,-21,26,60,-20,-57
19,-21,26,60,-20,-57
19,-20,25,60,-20,-57
19,-19,25,60,-21,-57
20,-19,24,60,-21,-57
20,-18,24,60,-21,-57
21,-17,23,60,-22,-57
21,-17,22,60,-22,-57
21,-16,22,60,-23,-56
22,-15,21,60,-23,-56
